outcode,postcode,num_meters,total_cons_kwh,mean_cons_kwh,median_cons_kwh,Latitude_Longitude
B21,All postcodes,9638,142302111.30467176,14764.693017708214,13192.540366455123,"(54.6635308, -5.6658642)"
B23,All postcodes,16969,198011094.31685868,11668.990177197164,10127.716649454,"(54.5234599, -5.9788697)"
B24,All postcodes,11006,137070450.23700204,12454.156845084684,10611.401915747963,"(51.41588805, 0.87213045)"
B25,All postcodes,5858,71572361.36027502,12217.883468807617,11082.723039245622,"(51.41593985, 0.8722224999999959)"
B26,All postcodes,13257,153281286.22419932,11562.29058038767,10770.652074996156,"(51.399408199999996, 0.9192116470285374)"
B27,All postcodes,9443,117102536.89018238,12400.988763124258,10760.760760759034,"(51.4160592, 0.8723946)"
B28,All postcodes,11198,163656498.11326417,14614.79711674086,13296.399165961357,"(51.41548975, 0.8718095709590292)"
B29,All postcodes,15070,183536645.3146171,12178.94129493146,10543.1474052942,"(51.396613099999996, 0.9198907499999978)"
B3,All postcodes,252,4185791.089488055,16610.282101143075,11687.439001991404,"(54.2312392, -6.7813408)"
B30,All postcodes,12252,142751283.6855786,11651.26376800348,10423.961510915316,"(51.41569685, 0.8721115000000053)"
B31,All postcodes,23097,247829495.1013268,10729.943070586083,9772.61846827585,"(51.41579275, 0.8722394241339508)"
B32,All postcodes,15725,167678100.94219238,10663.15427295341,9663.479365378786,"(54.2123906, -6.7293768)"
B33,All postcodes,13195,143599699.64968562,10882.88743082119,9561.93347497583,"(54.2327084, -6.7829691)"
B34,All postcodes,7841,83627033.08702125,10665.353027295148,9478.846435368065,"(51.41595715, 0.8725542500000056)"
B35,All postcodes,4090,37357785.011603974,9133.932765673344,8464.635791503119,"(54.464634, -6.8746488)"
B36,All postcodes,13205,151600796.98873562,11480.56016575052,10238.499368935596,"(54.2284014, -7.2942287)"
B37,All postcodes,15070,138653080.72704253,9200.602569810386,8112.855938941492,"(51.415515400000004, 0.872082391087612)"
B38,All postcodes,8368,89302200.62303601,10671.869099311189,9420.982247069458,"(51.399435, 0.9186958175516218)"
B4,All postcodes,113,1709110.569276657,15124.87229448369,6975.180074633334,"(54.60297, -7.217537)"
B40,All postcodes,7,163427.76623619153,23346.82374802736,28125.87961512997,"(54.782557, -6.7075294)"
B42,All postcodes,9530,117135161.523823,12291.202678260544,11258.788432702204,"(54.8356674, -6.7494494)"
B43,All postcodes,11947,147839537.24501932,12374.615991045392,11346.326563716628,"(54.5677677, -6.886375)"
B44,All postcodes,14904,164112843.2336922,11011.328719383537,10203.385203388192,"(54.8641962, -7.0777699)"
B45,All postcodes,13474,160982596.01871273,11947.64702528668,10179.151483502372,"(54.4157582, -6.8044434)"
B46,All postcodes,4914,60235361.253093995,12257.9082729129,10815.657554788502,"(54.7321124, -7.3206966)"
B47,All postcodes,4115,55154697.89098942,13403.328770592812,12338.425381904332,"(54.7738714, -6.8554262)"
B48,All postcodes,2140,28501929.147142,13318.658479972895,11180.647050212758,"(51.4161697, 0.8724947999999945)"
B49,All postcodes,3724,39341474.92717277,10564.305834364332,9050.057963102172,"(54.8995619, -7.1592206)"
B5,All postcodes,3328,36920961.21170656,11094.038825632982,7882.882882882804,"(54.5375941, -5.5538011)"
B50,All postcodes,2851,27861969.46223798,9772.700618112234,8758.546816028964,"(54.6218258, -7.4924293)"
B6,All postcodes,5872,82375405.71570544,14028.50914777,12073.013879185271,"(54.4644072, -5.791129)"
B60,All postcodes,11461,133882503.3234414,11681.572578609315,10270.151574496653,"(51.39617615, 0.9190828717702177)"
B61,All postcodes,10260,111057223.52431308,10824.29079184338,9556.987817854964,"(51.39605315, 0.9190144)"
B62,All postcodes,9934,130229907.50325204,13109.51353968714,11819.189133037347,"(54.8886852, -6.3574605)"
B63,All postcodes,15353,169748498.14515942,11056.373226415646,10102.988363859607,"(51.3967153, 0.9192697788925417)"
B64,All postcodes,7489,76934042.04619206,10272.939250392852,8863.606689692979,"(54.9665944, -6.2897153)"
