Lower tier local authorities Code,Accommodation type (5 categories),Observation
E06000046,Whole house or bungalow: Semi-detached,19076
E06000046,Whole house or bungalow: Terraced,9877
E06000046,"Flat, maisonette or apartment",13349
E06000046,A caravan or other mobile or temporary structure,449
E06000047,Whole house or bungalow: Detached,48799
E06000047,Whole house or bungalow: Semi-detached,89775
E06000047,Whole house or bungalow: Terraced,83017
E06000047,"Flat, maisonette or apartment",12784
E06000047,A caravan or other mobile or temporary structure,386
E06000049,Whole house or bungalow: Detached,63928
E06000049,Whole house or bungalow: Semi-detached,56799
E06000049,Whole house or bungalow: Terraced,34980
E06000049,"Flat, maisonette or apartment",18369
E06000049,A caravan or other mobile or temporary structure,780
E06000050,Whole house or bungalow: Detached,47457
E06000050,Whole house or bungalow: Semi-detached,56297
E06000050,Whole house or bungalow: Terraced,31924
E06000050,"Flat, maisonette or apartment",18409
E06000050,A caravan or other mobile or temporary structure,1069
E06000051,Whole house or bungalow: Detached,57267
E06000051,Whole house or bungalow: Semi-detached,46762
E06000051,Whole house or bungalow: Terraced,21998
E06000051,"Flat, maisonette or apartment",12390
E06000051,A caravan or other mobile or temporary structure,1166
E06000052,Whole house or bungalow: Detached,93105
E06000052,Whole house or bungalow: Semi-detached,66437
E06000052,Whole house or bungalow: Terraced,54967
E06000052,"Flat, maisonette or apartment",32140
E06000052,A caravan or other mobile or temporary structure,3886
E06000053,Whole house or bungalow: Detached,321
E06000053,Whole house or bungalow: Semi-detached,220
E06000053,Whole house or bungalow: Terraced,166
E06000053,"Flat, maisonette or apartment",234
E06000053,A caravan or other mobile or temporary structure,1
E06000054,Whole house or bungalow: Detached,75628
E06000054,Whole house or bungalow: Semi-detached,68361
E06000054,Whole house or bungalow: Terraced,44590
E06000054,"Flat, maisonette or apartment",24977
E06000054,A caravan or other mobile or temporary structure,1525
E06000055,Whole house or bungalow: Detached,20813
E06000055,Whole house or bungalow: Semi-detached,24743
E06000055,Whole house or bungalow: Terraced,14941
E06000055,"Flat, maisonette or apartment",13796
E06000055,A caravan or other mobile or temporary structure,657
E06000056,Whole house or bungalow: Detached,35355
E06000056,Whole house or bungalow: Semi-detached,41573
E06000056,Whole house or bungalow: Terraced,28303
E06000056,"Flat, maisonette or apartment",14598
E06000056,A caravan or other mobile or temporary structure,929
E06000057,Whole house or bungalow: Detached,39981
E06000057,Whole house or bungalow: Semi-detached,53097
E06000057,Whole house or bungalow: Terraced,37801
E06000057,"Flat, maisonette or apartment",15709
E06000057,A caravan or other mobile or temporary structure,334
E06000058,Whole house or bungalow: Detached,61946
E06000058,Whole house or bungalow: Semi-detached,30018
E06000058,Whole house or bungalow: Terraced,17150
E06000058,"Flat, maisonette or apartment",64071
E06000058,A caravan or other mobile or temporary structure,657
E06000059,Whole house or bungalow: Detached,68763
E06000059,Whole house or bungalow: Semi-detached,39588
E06000059,Whole house or bungalow: Terraced,32748
E06000059,"Flat, maisonette or apartment",26126
E06000059,A caravan or other mobile or temporary structure,2036
E06000060,Whole house or bungalow: Detached,75661
E06000060,Whole house or bungalow: Semi-detached,66450
E06000060,Whole house or bungalow: Terraced,39127
E06000060,"Flat, maisonette or apartment",37935
E06000060,A caravan or other mobile or temporary structure,1155
E06000061,Whole house or bungalow: Detached,44461
E06000061,Whole house or bungalow: Semi-detached,52529
E06000061,Whole house or bungalow: Terraced,34629
E06000061,"Flat, maisonette or apartment",16631
E06000061,A caravan or other mobile or temporary structure,668
E06000062,Whole house or bungalow: Detached,54696
E06000062,Whole house or bungalow: Semi-detached,54581
E06000062,Whole house or bungalow: Terraced,39859
E06000062,"Flat, maisonette or apartment",22790
E06000062,A caravan or other mobile or temporary structure,712
E07000008,Whole house or bungalow: Detached,5700
E07000008,Whole house or bungalow: Semi-detached,13843
E07000008,Whole house or bungalow: Terraced,14478
E07000008,"Flat, maisonette or apartment",18372
E07000008,A caravan or other mobile or temporary structure,79
E07000009,Whole house or bungalow: Detached,15623
E07000009,Whole house or bungalow: Semi-detached,11946
E07000009,Whole house or bungalow: Terraced,6302
E07000009,"Flat, maisonette or apartment",2894
E07000009,A caravan or other mobile or temporary structure,439
E07000010,Whole house or bungalow: Detached,20154
E07000010,Whole house or bungalow: Semi-detached,13187
E07000010,Whole house or bungalow: Terraced,6316
E07000010,"Flat, maisonette or apartment",3948
E07000010,A caravan or other mobile or temporary structure,476
E07000011,Whole house or bungalow: Detached,30548
E07000011,Whole house or bungalow: Semi-detached,23248
E07000011,Whole house or bungalow: Terraced,13860
E07000011,"Flat, maisonette or apartment",8629
E07000011,A caravan or other mobile or temporary structure,595
E07000012,Whole house or bungalow: Detached,27602
E07000012,Whole house or bungalow: Semi-detached,22639
E07000012,Whole house or bungalow: Terraced,11247
E07000012,"Flat, maisonette or apartment",4798
E07000012,A caravan or other mobile or temporary structure,709
E07000026,Whole house or bungalow: Detached,12474
E07000026,Whole house or bungalow: Semi-detached,14914
E07000026,Whole house or bungalow: Terraced,12808
E07000026,"Flat, maisonette or apartment",3584
E07000026,A caravan or other mobile or temporary structure,193
E07000027,Whole house or bungalow: Detached,4015
E07000027,Whole house or bungalow: Semi-detached,9721
E07000027,Whole house or bungalow: Terraced,14187
E07000027,"Flat, maisonette or apartment",3052
E07000027,A caravan or other mobile or temporary structure,284
E07000028,Whole house or bungalow: Detached,12643
E07000028,Whole house or bungalow: Semi-detached,18558
E07000028,Whole house or bungalow: Terraced,13638
E07000028,"Flat, maisonette or apartment",5722
E07000028,A caravan or other mobile or temporary structure,101
E07000029,Whole house or bungalow: Detached,7572
