Lower tier local authorities Code,Accommodation type (5 categories),Observation
E08000002,"Flat, maisonette or apartment",11529
E08000002,A caravan or other mobile or temporary structure,49
E08000003,Whole house or bungalow: Detached,11603
E08000003,Whole house or bungalow: Semi-detached,68528
E08000003,Whole house or bungalow: Terraced,60020
E08000003,"Flat, maisonette or apartment",74389
E08000003,A caravan or other mobile or temporary structure,192
E08000004,Whole house or bungalow: Detached,12356
E08000004,Whole house or bungalow: Semi-detached,33440
E08000004,Whole house or bungalow: Terraced,35838
E08000004,"Flat, maisonette or apartment",11432
E08000004,A caravan or other mobile or temporary structure,74
E08000005,Whole house or bungalow: Detached,15155
E08000005,Whole house or bungalow: Semi-detached,32358
E08000005,Whole house or bungalow: Terraced,31026
E08000005,"Flat, maisonette or apartment",11590
E08000005,A caravan or other mobile or temporary structure,94
E08000006,Whole house or bungalow: Detached,10764
E08000006,Whole house or bungalow: Semi-detached,39987
E08000006,Whole house or bungalow: Terraced,29241
E08000006,"Flat, maisonette or apartment",34996
E08000006,A caravan or other mobile or temporary structure,128
E08000007,Whole house or bungalow: Detached,27416
E08000007,Whole house or bungalow: Semi-detached,52145
E08000007,Whole house or bungalow: Terraced,26512
E08000007,"Flat, maisonette or apartment",20501
E08000007,A caravan or other mobile or temporary structure,74
E08000008,Whole house or bungalow: Detached,11904
E08000008,Whole house or bungalow: Semi-detached,38449
E08000008,Whole house or bungalow: Terraced,33953
E08000008,"Flat, maisonette or apartment",15114
E08000008,A caravan or other mobile or temporary structure,106
E08000009,Whole house or bungalow: Detached,14601
E08000009,Whole house or bungalow: Semi-detached,42193
E08000009,Whole house or bungalow: Terraced,19976
E08000009,"Flat, maisonette or apartment",19468
E08000009,A caravan or other mobile or temporary structure,31
E08000010,Whole house or bungalow: Detached,27450
E08000010,Whole house or bungalow: Semi-detached,65250
E08000010,Whole house or bungalow: Terraced,37347
E08000010,"Flat, maisonette or apartment",12970
E08000010,A caravan or other mobile or temporary structure,86
E08000011,Whole house or bungalow: Detached,9929
E08000011,Whole house or bungalow: Semi-detached,28445
E08000011,Whole house or bungalow: Terraced,20845
E08000011,"Flat, maisonette or apartment",6668
E08000011,A caravan or other mobile or temporary structure,186
E08000012,Whole house or bungalow: Detached,17047
E08000012,Whole house or bungalow: Semi-detached,63639
E08000012,Whole house or bungalow: Terraced,78552
E08000012,"Flat, maisonette or apartment",48189
E08000012,A caravan or other mobile or temporary structure,64
E08000013,Whole house or bungalow: Detached,12833
E08000013,Whole house or bungalow: Semi-detached,38054
E08000013,Whole house or bungalow: Terraced,22929
E08000013,"Flat, maisonette or apartment",7146
E08000013,A caravan or other mobile or temporary structure,49
E08000014,Whole house or bungalow: Detached,19926
E08000014,Whole house or bungalow: Semi-detached,56728
E08000014,Whole house or bungalow: Terraced,22585
E08000014,"Flat, maisonette or apartment",23774
E08000014,A caravan or other mobile or temporary structure,60
E08000015,Whole house or bungalow: Detached,24892
E08000015,Whole house or bungalow: Semi-detached,59592
E08000015,Whole house or bungalow: Terraced,33594
E08000015,"Flat, maisonette or apartment",25072
E08000015,A caravan or other mobile or temporary structure,101
E08000016,Whole house or bungalow: Detached,25317
E08000016,Whole house or bungalow: Semi-detached,49183
E08000016,Whole house or bungalow: Terraced,25178
E08000016,"Flat, maisonette or apartment",8304
E08000016,A caravan or other mobile or temporary structure,73
E08000017,Whole house or bungalow: Detached,32223
E08000017,Whole house or bungalow: Semi-detached,60700
E08000017,Whole house or bungalow: Terraced,28207
E08000017,"Flat, maisonette or apartment",11501
E08000017,A caravan or other mobile or temporary structure,849
E08000018,Whole house or bungalow: Detached,25415
E08000018,Whole house or bungalow: Semi-detached,56050
E08000018,Whole house or bungalow: Terraced,20689
E08000018,"Flat, maisonette or apartment",11729
E08000018,A caravan or other mobile or temporary structure,42
E08000019,Whole house or bungalow: Detached,34839
E08000019,Whole house or bungalow: Semi-detached,88149
E08000019,Whole house or bungalow: Terraced,60285
E08000019,"Flat, maisonette or apartment",48592
E08000019,A caravan or other mobile or temporary structure,85
E08000021,Whole house or bungalow: Detached,11676
E08000021,Whole house or bungalow: Semi-detached,42492
E08000021,Whole house or bungalow: Terraced,28946
E08000021,"Flat, maisonette or apartment",39652
E08000021,A caravan or other mobile or temporary structure,32
E08000022,Whole house or bungalow: Detached,12051
E08000022,Whole house or bungalow: Semi-detached,40118
E08000022,Whole house or bungalow: Terraced,22090
E08000022,"Flat, maisonette or apartment",21958
E08000022,A caravan or other mobile or temporary structure,15
E08000023,Whole house or bungalow: Detached,6408
E08000023,Whole house or bungalow: Semi-detached,29261
E08000023,Whole house or bungalow: Terraced,18704
E08000023,"Flat, maisonette or apartment",13875
E08000023,A caravan or other mobile or temporary structure,38
E08000024,Whole house or bungalow: Detached,16201
E08000024,Whole house or bungalow: Semi-detached,55039
E08000024,Whole house or bungalow: Terraced,35518
E08000024,"Flat, maisonette or apartment",15282
E08000024,A caravan or other mobile or temporary structure,137
E08000025,Whole house or bungalow: Detached,47332
E08000025,Whole house or bungalow: Semi-detached,150608
E08000025,Whole house or bungalow: Terraced,117527
E08000025,"Flat, maisonette or apartment",107692
E08000025,A caravan or other mobile or temporary structure,297
E08000026,Whole house or bungalow: Detached,15498
E08000026,Whole house or bungalow: Semi-detached,40312
E08000026,Whole house or bungalow: Terraced,53515
E08000026,"Flat, maisonette or apartment",24587
E08000026,A caravan or other mobile or temporary structure,228
E08000027,Whole house or bungalow: Detached,29595
E08000027,Whole house or bungalow: Semi-detached,66305
E08000027,Whole house or bungalow: Terraced,21158
E08000027,"Flat, maisonette or apartment",19918
E08000027,A caravan or other mobile or temporary structure,93
E08000028,Whole house or bungalow: Detached,15453
E08000028,Whole house or bungalow: Semi-detached,57980
E08000028,Whole house or bungalow: Terraced,31724
E08000028,"Flat, maisonette or apartment",24999
E08000028,A caravan or other mobile or temporary structure,90
E08000029,Whole house or bungalow: Detached,25497
E08000029,Whole house or bungalow: Semi-detached,33536
E08000029,Whole house or bungalow: Terraced,14102
E08000029,"Flat, maisonette or apartment",16173
E08000029,A caravan or other mobile or temporary structure,175
E08000030,Whole house or bungalow: Detached,20550
E08000030,Whole house or bungalow: Semi-detached,48092
E08000030,Whole house or bungalow: Terraced,23982
E08000030,"Flat, maisonette or apartment",19390
E08000030,A caravan or other mobile or temporary structure,213
E08000031,Whole house or bungalow: Detached,17727
E08000031,Whole house or bungalow: Semi-detached,48334
E08000031,Whole house or bungalow: Terraced,17276
E08000031,"Flat, maisonette or apartment",21689
E08000031,A caravan or other mobile or temporary structure,115
E08000032,Whole house or bungalow: Detached,30851
E08000032,Whole house or bungalow: Semi-detached,76995
E08000032,Whole house or bungalow: Terraced,69168
E08000032,"Flat, maisonette or apartment",32267
E08000032,A caravan or other mobile or temporary structure,586
E08000033,Whole house or bungalow: Detached,13730
E08000033,Whole house or bungalow: Semi-detached,25842
E08000033,Whole house or bungalow: Terraced,37356
E08000033,"Flat, maisonette or apartment",13361
E08000033,A caravan or other mobile or temporary structure,189
E08000034,Whole house or bungalow: Detached,38467
E08000034,Whole house or bungalow: Semi-detached,60938
E08000034,Whole house or bungalow: Terraced,55986
E08000034,"Flat, maisonette or apartment",22397
E08000034,A caravan or other mobile or temporary structure,201
E08000035,Whole house or bungalow: Detached,52788
E08000035,Whole house or bungalow: Semi-detached,127950
E08000035,Whole house or bungalow: Terraced,85263
E08000035,"Flat, maisonette or apartment",75034
E08000035,A caravan or other mobile or temporary structure,431
E08000036,Whole house or bungalow: Detached,34197
E08000036,Whole house or bungalow: Semi-detached,68246
E08000036,Whole house or bungalow: Terraced,33718
E08000036,"Flat, maisonette or apartment",16661
E08000036,A caravan or other mobile or temporary structure,253
E08000037,Whole house or bungalow: Detached,10364
E08000037,Whole house or bungalow: Semi-detached,38460
E08000037,Whole house or bungalow: Terraced,22239
E08000037,"Flat, maisonette or apartment",17870
E08000037,A caravan or other mobile or temporary structure,66
E09000001,Whole house or bungalow: Detached,7
E09000001,Whole house or bungalow: Semi-detached,15
E09000001,Whole house or bungalow: Terraced,78
E09000001,"Flat, maisonette or apartment",4814
E09000001,A caravan or other mobile or temporary structure,0
E09000002,Whole house or bungalow: Detached,3751
E09000002,Whole house or bungalow: Semi-detached,16358
E09000002,Whole house or bungalow: Terraced,30754
E09000002,"Flat, maisonette or apartment",22979
E09000002,A caravan or other mobile or temporary structure,60
E09000003,Whole house or bungalow: Detached,15046
E09000003,Whole house or bungalow: Semi-detached,40919
E09000003,Whole house or bungalow: Terraced,22155
E09000003,"Flat, maisonette or apartment",70617
E09000003,A caravan or other mobile or temporary structure,180
E09000004,Whole house or bungalow: Detached,7054
E09000004,Whole house or bungalow: Semi-detached,42154
E09000004,Whole house or bungalow: Terraced,22536
E09000004,"Flat, maisonette or apartment",23511
E09000004,A caravan or other mobile or temporary structure,41
E09000005,Whole house or bungalow: Detached,7142
E09000005,Whole house or bungalow: Semi-detached,26467
E09000005,Whole house or bungalow: Terraced,17697
E09000005,"Flat, maisonette or apartment",67210
E09000005,A caravan or other mobile or temporary structure,96
E09000006,Whole house or bungalow: Detached,24563
E09000006,Whole house or bungalow: Semi-detached,40562
E09000006,Whole house or bungalow: Terraced,27990
E09000006,"Flat, maisonette or apartment",42484
E09000006,A caravan or other mobile or temporary structure,228
E09000007,Whole house or bungalow: Detached,1584
E09000007,Whole house or bungalow: Semi-detached,3294
E09000007,Whole house or bungalow: Terraced,7504
E09000007,"Flat, maisonette or apartment",80306
E09000007,A caravan or other mobile or temporary structure,71
E09000008,Whole house or bungalow: Detached,18714
E09000008,Whole house or bungalow: Semi-detached,37841
E09000008,Whole house or bungalow: Terraced,35580
E09000008,"Flat, maisonette or apartment",60674
E09000008,A caravan or other mobile or temporary structure,137
E09000009,Whole house or bungalow: Detached,6798
E09000009,Whole house or bungalow: Semi-detached,29225
E09000009,Whole house or bungalow: Terraced,31261
E09000009,"Flat, maisonette or apartment",66147
E09000009,A caravan or other mobile or temporary structure,228
E09000010,Whole house or bungalow: Detached,9059
E09000010,Whole house or bungalow: Semi-detached,29986
E09000010,Whole house or bungalow: Terraced,34911
E09000010,"Flat, maisonette or apartment",46856
E09000010,A caravan or other mobile or temporary structure,111
E09000011,Whole house or bungalow: Detached,4656
E09000011,Whole house or bungalow: Semi-detached,20106
E09000011,Whole house or bungalow: Terraced,30419
E09000011,"Flat, maisonette or apartment",58779
E09000011,A caravan or other mobile or temporary structure,92
E09000012,Whole house or bungalow: Detached,1433
E09000012,Whole house or bungalow: Semi-detached,3816
E09000012,Whole house or bungalow: Terraced,14729
E09000012,"Flat, maisonette or apartment",85850
E09000012,A caravan or other mobile or temporary structure,251
E09000013,Whole house or bungalow: Detached,933
E09000013,Whole house or bungalow: Semi-detached,3790
E09000013,Whole house or bungalow: Terraced,15280
E09000013,"Flat, maisonette or apartment",61145
E09000013,A caravan or other mobile or temporary structure,95
E09000014,Whole house or bungalow: Detached,4057
E09000014,Whole house or bungalow: Semi-detached,9899
E09000014,Whole house or bungalow: Terraced,26896
E09000014,"Flat, maisonette or apartment",64089
E09000014,A caravan or other mobile or temporary structure,151
E09000015,Whole house or bungalow: Detached,10174
E09000015,Whole house or bungalow: Semi-detached,33281
E09000015,Whole house or bungalow: Terraced,15136
E09000015,"Flat, maisonette or apartment",31016
E09000015,A caravan or other mobile or temporary structure,35
E09000016,Whole house or bungalow: Detached,11276
E09000016,Whole house or bungalow: Semi-detached,41729
E09000016,Whole house or bungalow: Terraced,24643
E09000016,"Flat, maisonette or apartment",23355
E09000016,A caravan or other mobile or temporary structure,274
E09000017,Whole house or bungalow: Detached,15182
E09000017,Whole house or bungalow: Semi-detached,38338
E09000017,Whole house or bungalow: Terraced,21773
E09000017,"Flat, maisonette or apartment",33650
E09000017,A caravan or other mobile or temporary structure,282
E09000018,Whole house or bungalow: Detached,5022
E09000018,Whole house or bungalow: Semi-detached,29477
E09000018,Whole house or bungalow: Terraced,21123
E09000018,"Flat, maisonette or apartment",47108
E09000018,A caravan or other mobile or temporary structure,231
E09000019,Whole house or bungalow: Detached,826
E09000019,Whole house or bungalow: Semi-detached,2639
E09000019,Whole house or bungalow: Terraced,12265
E09000019,"Flat, maisonette or apartment",80676
E09000019,A caravan or other mobile or temporary structure,90
E09000020,Whole house or bungalow: Detached,767
E09000020,Whole house or bungalow: Semi-detached,2064
E09000020,Whole house or bungalow: Terraced,8561
E09000020,"Flat, maisonette or apartment",55418
E09000020,A caravan or other mobile or temporary structure,74
E09000021,Whole house or bungalow: Detached,8284
E09000021,Whole house or bungalow: Semi-detached,20797
E09000021,Whole house or bungalow: Terraced,11300
E09000021,"Flat, maisonette or apartment",25149
E09000021,A caravan or other mobile or temporary structure,96
E09000022,Whole house or bungalow: Detached,2726
E09000022,Whole house or bungalow: Semi-detached,10494
E09000022,Whole house or bungalow: Terraced,20194
E09000022,"Flat, maisonette or apartment",101196
E09000022,A caravan or other mobile or temporary structure,78
E09000023,Whole house or bungalow: Detached,3682
E09000023,Whole house or bungalow: Semi-detached,15884
E09000023,Whole house or bungalow: Terraced,32070
E09000023,"Flat, maisonette or apartment",70629
E09000023,A caravan or other mobile or temporary structure,127
E09000024,Whole house or bungalow: Detached,4659
E09000024,Whole house or bungalow: Semi-detached,15514
E09000024,Whole house or bungalow: Terraced,29176
E09000024,"Flat, maisonette or apartment",32326
E09000024,A caravan or other mobile or temporary structure,54
E09000025,Whole house or bungalow: Detached,6337
E09000025,Whole house or bungalow: Semi-detached,11937
E09000025,Whole house or bungalow: Terraced,36118
E09000025,"Flat, maisonette or apartment",60921
E09000025,A caravan or other mobile or temporary structure,199
E09000026,Whole house or bungalow: Detached,7229
E09000026,Whole house or bungalow: Semi-detached,27965
E09000026,Whole house or bungalow: Terraced,33469
E09000026,"Flat, maisonette or apartment",34897
E09000026,A caravan or other mobile or temporary structure,153
E09000027,Whole house or bungalow: Detached,6683
E09000027,Whole house or bungalow: Semi-detached,20164
E09000027,Whole house or bungalow: Terraced,21431
E09000027,"Flat, maisonette or apartment",32233
E09000027,A caravan or other mobile or temporary structure,194
E09000028,Whole house or bungalow: Detached,2377
E09000028,Whole house or bungalow: Semi-detached,7400
E09000028,Whole house or bungalow: Terraced,18764
E09000028,"Flat, maisonette or apartment",102061
E09000028,A caravan or other mobile or temporary structure,216
E09000029,Whole house or bungalow: Detached,8611
E09000029,Whole house or bungalow: Semi-detached,23003
E09000029,Whole house or bungalow: Terraced,20167
E09000029,"Flat, maisonette or apartment",30529
E09000029,A caravan or other mobile or temporary structure,38
E09000030,Whole house or bungalow: Detached,1127
E09000030,Whole house or bungalow: Semi-detached,2744
E09000030,Whole house or bungalow: Terraced,10654
E09000030,"Flat, maisonette or apartment",105823
E09000030,A caravan or other mobile or temporary structure,191
E09000031,Whole house or bungalow: Detached,4241
E09000031,Whole house or bungalow: Semi-detached,16840
E09000031,Whole house or bungalow: Terraced,35667
E09000031,"Flat, maisonette or apartment",46054
E09000031,A caravan or other mobile or temporary structure,101
E09000032,Whole house or bungalow: Detached,3031
E09000032,Whole house or bungalow: Semi-detached,9640
E09000032,Whole house or bungalow: Terraced,30521
E09000032,"Flat, maisonette or apartment",94058
E09000032,A caravan or other mobile or temporary structure,143
E09000033,Whole house or bungalow: Detached,1047
E09000033,Whole house or bungalow: Semi-detached,1735
E09000033,Whole house or bungalow: Terraced,6849
E09000033,"Flat, maisonette or apartment",85094
E09000033,A caravan or other mobile or temporary structure,89
W06000001,Whole house or bungalow: Detached,14623
W06000001,Whole house or bungalow: Semi-detached,7051
W06000001,Whole house or bungalow: Terraced,6827
W06000001,"Flat, maisonette or apartment",2144
W06000001,A caravan or other mobile or temporary structure,177
W06000002,Whole house or bungalow: Detached,17732
W06000002,Whole house or bungalow: Semi-detached,12980
W06000002,Whole house or bungalow: Terraced,15300
W06000002,"Flat, maisonette or apartment",4890
W06000002,A caravan or other mobile or temporary structure,202
W06000003,Whole house or bungalow: Detached,18928
W06000003,Whole house or bungalow: Semi-detached,16541
W06000003,Whole house or bungalow: Terraced,7381
W06000003,"Flat, maisonette or apartment",9233
W06000003,A caravan or other mobile or temporary structure,152
W06000004,Whole house or bungalow: Detached,18520
W06000004,Whole house or bungalow: Semi-detached,13551
W06000004,Whole house or bungalow: Terraced,5433
W06000004,"Flat, maisonette or apartment",4751
W06000004,A caravan or other mobile or temporary structure,129
W06000005,Whole house or bungalow: Detached,25985
W06000005,Whole house or bungalow: Semi-detached,27073
W06000005,Whole house or bungalow: Terraced,9019
W06000005,"Flat, maisonette or apartment",4534
W06000005,A caravan or other mobile or temporary structure,300
W06000006,Whole house or bungalow: Detached,18316
W06000006,Whole house or bungalow: Semi-detached,21801
W06000006,Whole house or bungalow: Terraced,11087
W06000006,"Flat, maisonette or apartment",6604
W06000006,A caravan or other mobile or temporary structure,106
W06000008,Whole house or bungalow: Detached,15661
W06000008,Whole house or bungalow: Semi-detached,7146
W06000008,Whole house or bungalow: Terraced,4342
W06000008,"Flat, maisonette or apartment",3501
W06000008,A caravan or other mobile or temporary structure,245
W06000009,Whole house or bungalow: Detached,23707
W06000009,Whole house or bungalow: Semi-detached,15301
W06000009,Whole house or bungalow: Terraced,10121
W06000009,"Flat, maisonette or apartment",5778
W06000009,A caravan or other mobile or temporary structure,580
W06000010,Whole house or bungalow: Detached,32928
W06000010,Whole house or bungalow: Semi-detached,27390
W06000010,Whole house or bungalow: Terraced,15352
W06000010,"Flat, maisonette or apartment",5635
W06000010,A caravan or other mobile or temporary structure,454
W06000011,Whole house or bungalow: Detached,25167
W06000011,Whole house or bungalow: Semi-detached,36244
W06000011,Whole house or bungalow: Terraced,26665
W06000011,"Flat, maisonette or apartment",16642
W06000011,A caravan or other mobile or temporary structure,243
W06000012,Whole house or bungalow: Detached,13305
W06000012,Whole house or bungalow: Semi-detached,26897
W06000012,Whole house or bungalow: Terraced,15855
W06000012,"Flat, maisonette or apartment",6239
W06000012,A caravan or other mobile or temporary structure,79
W06000013,Whole house or bungalow: Detached,15839
W06000013,Whole house or bungalow: Semi-detached,24570
W06000013,Whole house or bungalow: Terraced,15556
W06000013,"Flat, maisonette or apartment",6254
W06000013,A caravan or other mobile or temporary structure,141
W06000014,Whole house or bungalow: Detached,15949
W06000014,Whole house or bungalow: Semi-detached,17532
W06000014,Whole house or bungalow: Terraced,15091
W06000014,"Flat, maisonette or apartment",8558
W06000014,A caravan or other mobile or temporary structure,320
W06000015,Whole house or bungalow: Detached,20772
W06000015,Whole house or bungalow: Semi-detached,43709
W06000015,Whole house or bungalow: Terraced,43617
W06000015,"Flat, maisonette or apartment",39085
W06000015,A caravan or other mobile or temporary structure,151
W06000016,Whole house or bungalow: Detached,17012
W06000016,Whole house or bungalow: Semi-detached,28717
W06000016,Whole house or bungalow: Terraced,48928
W06000016,"Flat, maisonette or apartment",8588
W06000016,A caravan or other mobile or temporary structure,94
W06000018,Whole house or bungalow: Detached,13093
W06000018,Whole house or bungalow: Semi-detached,30283
W06000018,Whole house or bungalow: Terraced,26464
W06000018,"Flat, maisonette or apartment",6376
W06000018,A caravan or other mobile or temporary structure,41
W06000019,Whole house or bungalow: Detached,3610
W06000019,Whole house or bungalow: Semi-detached,8691
W06000019,Whole house or bungalow: Terraced,15157
W06000019,"Flat, maisonette or apartment",2853
W06000019,A caravan or other mobile or temporary structure,29
W06000020,Whole house or bungalow: Detached,8061
W06000020,Whole house or bungalow: Semi-detached,11220
W06000020,Whole house or bungalow: Terraced,16130
W06000020,"Flat, maisonette or apartment",4748
W06000020,A caravan or other mobile or temporary structure,81
W06000021,Whole house or bungalow: Detached,18030
W06000021,Whole house or bungalow: Semi-detached,11747
W06000021,Whole house or bungalow: Terraced,6829
W06000021,"Flat, maisonette or apartment",4211
W06000021,A caravan or other mobile or temporary structure,108
W06000022,Whole house or bungalow: Detached,13654
W06000022,Whole house or bungalow: Semi-detached,20759
W06000022,Whole house or bungalow: Terraced,20549
W06000022,"Flat, maisonette or apartment",10944
W06000022,A caravan or other mobile or temporary structure,148
W06000023,Whole house or bungalow: Detached,29176
W06000023,Whole house or bungalow: Semi-detached,15351
W06000023,Whole house or bungalow: Terraced,10134
W06000023,"Flat, maisonette or apartment",4982
W06000023,A caravan or other mobile or temporary structure,539
W06000024,Whole house or bungalow: Detached,4329
W06000024,Whole house or bungalow: Semi-detached,7317
W06000024,Whole house or bungalow: Terraced,12197
W06000024,"Flat, maisonette or apartment",1894
W06000024,A caravan or other mobile or temporary structure,46
