Local authority code,Total annual income (£)
E08000007,36400
E08000007,56200
E08000007,35800
E08000007,47500
E08000007,47900
E08000007,45300
E08000007,51800
E08000007,40900
E08000007,57000
E08000007,50300
E08000007,51700
E08000007,53200
E08000007,49100
E08000007,55300
E08000007,49000
E08000007,56100
E08000007,45900
E08000007,60800
E08000007,57900
E08000008,41800
E08000008,42200
E08000008,42600
E08000008,38200
E08000008,34300
E08000008,35200
E08000008,38500
E08000008,32600
E08000008,39000
E08000008,38100
E08000008,36500
E08000008,39100
E08000008,29900
E08000008,45400
E08000008,41500
E08000008,41000
E08000008,36700
E08000008,35200
E08000008,36500
E08000008,35400
E08000008,37600
E08000008,44900
E08000008,40300
E08000008,42800
E08000008,37800
E08000008,35500
E08000008,34200
E08000008,33900
E08000008,34600
E08000008,42800
E08000009,35700
E08000009,44900
E08000009,40700
E08000009,41600
E08000009,50500
E08000009,44500
E08000009,43300
E08000009,37500
E08000009,42200
E08000009,48700
E08000009,41300
E08000009,51700
E08000009,43600
E08000009,54700
E08000009,53500
E08000009,56800
E08000009,33100
E08000009,43300
E08000009,41900
E08000009,56900
E08000009,60100
E08000009,40700
E08000009,55200
E08000009,54500
E08000009,55500
E08000009,65600
E08000009,55100
E08000009,58800
E08000010,50200
E08000010,46600
E08000010,43500
E08000010,43200
E08000010,34700
E08000010,44400
E08000010,41800
E08000010,38300
E08000010,30500
E08000010,29800
E08000010,35100
E08000010,32200
E08000010,37200
E08000010,35000
E08000010,34300
E08000010,36200
E08000010,33400
E08000010,43800
E08000010,38300
E08000010,38000
E08000010,48100
E08000010,35500
E08000010,39800
E08000010,35100
E08000010,38400
E08000010,38400
E08000010,33500
E08000010,46900
E08000010,44700
E08000010,32600
E08000010,39600
E08000010,36200
E08000010,34900
E08000010,36300
E08000010,41300
E08000010,39800
E08000010,40800
E08000010,35900
E08000010,46700
E08000010,41400
E07000117,39500
E07000117,35100
E07000117,28900
E07000117,33800
E07000117,42300
E07000117,33800
E07000117,30600
E07000117,35500
E07000117,44400
E07000117,31400
E07000117,43000
E07000117,39400
E07000118,37300
E07000118,47600
E07000118,48200
E07000118,53200
E07000118,48000
E07000118,40400
E07000118,47500
E07000118,47400
E07000118,36500
E07000118,38600
E07000118,46800
E07000118,40300
E07000118,37600
E07000118,43400
E07000119,44900
E07000119,44400
E07000119,45200
E07000119,39100
E07000119,43700
E07000119,37000
E07000119,42100
E07000119,44800
E07000119,46200
E07000120,36200
E07000120,38400
E07000120,37000
E07000120,34700
E07000120,33800
E07000120,29900
E07000120,33400
E07000120,39000
E07000120,38600
E07000121,42400
E07000121,46700
E07000121,43000
E07000121,38100
E07000121,45600
E07000121,30200
E07000121,34700
E07000121,30900
E07000121,31400
E07000121,33400
E07000121,45200
E07000121,36000
E07000121,38200
E07000121,39000
E07000121,44400
E07000121,43500
E07000121,43500
E07000121,40500
E07000122,39300
E07000122,37900
E07000122,39300
E07000122,34000
E07000122,34900
E07000122,45700
E07000122,33400
E07000122,45900
E07000122,29300
E07000122,30500
E07000122,34300
E07000122,38500
E07000122,38600
E07000123,50500
E07000123,56100
E07000123,49600
E07000123,51600
E07000123,35000
E07000123,45700
E07000123,36300
E07000123,45000
E07000123,34200
E07000123,48400
E07000123,33700
E07000123,35000
E07000123,38700
E07000123,32500
E07000123,26700
E07000123,34700
E07000123,32300
E07000124,47500
E07000124,45400
E07000124,40900
E07000124,46900
E07000124,47200
E07000124,41600
E07000124,51100
E07000124,50900
E07000125,46200
E07000125,37300
E07000125,37600
E07000125,38400
E07000125,43600
E07000125,46300
E07000125,38400
E07000125,36800
E07000126,51800
E07000126,45000
E07000126,51600
E07000126,48000
E07000126,43400
E07000126,37700
E07000126,37800
E07000126,42300
E07000126,44500
E07000126,48900
E07000126,45900
E07000126,44600
E07000126,40800
E07000126,45900
E07000126,38300
E07000126,46800
E07000126,34600
E07000127,47300
E07000127,41400
E07000127,42100
E07000127,42800
E07000127,51000
E07000127,45200
E07000127,34400
E07000127,45800
E07000127,41500
E07000127,35100
E07000127,34600
E07000127,51100
E07000127,38200
E07000127,31600
E07000127,43700
E07000128,30200
E07000128,35000
E07000128,33800
E07000128,35600
E07000128,36100
E07000128,47900
E07000128,42200
E07000128,31700
E07000128,42300
