outcode,gas_total_cons_kwh,gas_mean_cons_kwh,gas_median_cons_kwh
DL5,148800780.53503862,10815.582245605365,9807.047846821093
DL6,53412757.39050145,10466.932665197226,9470.943994172554
DL7,56209027.804609224,11172.53583872177,9984.695710369046
DL8,42808823.15092532,11664.529468916982,10139.705517344384
DL9,50300275.08411441,10284.251703969416,9362.68
DN1,43804474.690320835,13515.728074767305,10042.314798259149
DN10,52886236.44588929,12694.727903477986,11029.163438424599
DN11,146318191.44861203,10877.867180775558,9853.586824803602
DN12,110906642.40540381,10270.084489804964,9404.612908992942
DN14,201716915.5031426,10804.912716435942,9763.5
DN15,167502326.16788208,11547.902527947748,10222.103025605085
DN16,145698945.85207635,10038.510806950278,9248.167352049624
DN17,154894330.41119954,10834.802071292637,9883.385978504268
DN18,58127620.52,10273.527840461842,8928.323102289949
DN19,28888723.155323375,11772.09582531515,10469.932653912381
DN2,122609695.10620423,11399.190694143197,10320.44023282916
DN20,94976847.98967156,11693.775915990096,10327.393368695679
DN21,162194958.75404617,10700.99351811349,9498.976895720592
DN22,147022615.2999097,10841.57623330947,9420.505790966903
DN3,144080270.18954054,10747.446679810573,10066.154121220981
DN31,44784957.36601161,9359.447725394277,7576.93
DN32,126420195.2710685,10006.347575674252,8524.05
DN33,91078216.20085533,10290.16113443174,9334.088245227842
DN34,78844013.90724087,9795.504274722434,8921.866618989265
DN35,157966103.2658179,10406.88472664984,9451.298249797006
DN36,96934202.59342287,11990.871176821236,10829.01245604491
DN37,96678681.17,11178.018403705157,10118.799292767579
DN38,13063443.797342483,12621.684828350226,11055.48602419706
DN39,10384275.819391929,11576.673154283086,10645.251008204914
DN4,284074267.9114662,11240.227432891472,9879.41
DN40,52160956.97317158,10005.938418026391,9151.320102508005
DN41,34475662.234708704,12152.154471169793,10751.534656416372
DN5,182762252.80615264,10785.615391333882,9736.376820234027
DN6,136543517.81871358,10264.886319253765,9414.910217016733
DN7,100971360.74201335,10600.667794437097,9744.323261217563
DN8,78682299.54496902,10198.613032400392,9330.115024731973
DN9,106015859.08728659,12526.983231393902,11174.682639013654
DT1,90542292.23,9449.21,8006.757290447831
DT10,39030715.00565007,11180.382413534824,9480.348172254107
DT11,96037190.52707903,10296.686021987674,8782.305456384707
DT2,51481489.238238335,10566.80813592741,8981.746232345877
DT3,94324658.72271316,9256.590649922782,8022.060914347571
DT4,144108476.79729545,8686.989981149885,7342.777479383463
DT5,45589020.096475184,8158.378685840226,7119.640769644799
DT6,81493468.93015416,9654.480385043735,7971.707055069481
DT7,29054635.596490614,10796.966033627134,8579.902688698312
DT8,15634530.293620393,10409.141340626094,8546.333449179905
DT9,61566387.63351201,10295.382547410036,8432.790433161106
DY1,144325110.92373022,11015.502283905527,9671.727063030237
DY10,164741712.45182073,10550.897428706336,9121.28
DY11,133831013.29873975,10290.735355535544,9022.856848941316
DY12,44433072.70008733,11223.307072515112,9977.368673019893
DY13,91588732.99362738,10195.78459241093,9270.139704922925
DY2,152045881.31286675,11213.65007101311,9725.140159920747
DY3,168535764.52342844,11160.569798253655,10184.097140620135
DY4,177333543.1511813,10087.232261159346,9014.76
DY5,174571897.33793175,10170.816670818676,9133.77
DY6,141428225.8798567,11495.425983894716,10556.999687433436
DY7,43680269.59604922,14877.476020452732,12654.452871844174
DY8,248726076.97528243,11197.824463140754,9975.39
DY9,166171519.41338947,13495.615967951715,11573.826791216161
E1,192686204.2,8731.079986708595,7153.6332663901585
E10,166793520.12843892,11081.153343637983,9448.091198831973
E11,229623185.4332395,12000.793636105336,9890.197724023108
E12,144432715.75454777,11848.45904467168,10478.673980158608
E13,154590859.08680686,10405.95443503008,8897.581152770712
E14,178593738.9035594,8582.523855233763,7214.579024669961
E15,158977501.66565198,10032.658189174048,8484.1
E16,125524052.40379857,9026.610988335868,7876.989479362982
E17,390263467.0887354,10559.076490496087,9188.322393064494
E18,99396805.30864249,13010.053050869436,10858.336080888206
E1W,20234210.15415687,7502.488006732247,6159.518028954071
E2,128320139.43841062,8248.916137722463,6867.887580052307
E20,352394.2467745668,29366.187231213902,26745.236173577006
E3,136295291.57582128,8306.636492919386,7032.740860636721
E4,295558662.4554944,12818.608771977899,11486.776768678634
E5,172355791.83807486,10188.921248408304,8289.622236208488
E6,257395049.15745974,11300.656326885004,10063.043890931884
E7,187940119.73431963,12150.253409252626,10530.627741307753
E8,135381546.1174587,9075.655032342876,7252.2095011576075
E9,129627605.86357614,8820.004481429962,7312.491882223631
EC1A,2951645.023539732,11998.557006259074,5528.080008792203
EC1M,6717275.602636796,10070.877964972708,5665.685547951248
