outcode,gas_total_cons_kwh,gas_mean_cons_kwh,gas_median_cons_kwh,Latitude_Longitude
BB11,119648141.50047272,11399.403725273696,9767.249568115754,"(50.8361806, 0.3770329)"
BB12,172303817.43765032,10955.92404385136,9607.292092193542,"(50.8366161, 0.3758636)"
BB18,81470101.05700509,11078.33846301402,9987.744796460433,"(50.8440453, 0.3877575)"
BB2,291316120.0401357,11760.36978887149,10108.328124463183,"(50.8235176, 0.377697)"
BB3,168607852.28458437,11186.82671739546,10036.470304508815,"(53.6958823, -2.4657719)"
BB4,226401547.38531417,12539.548456677603,10927.31040117192,"(53.6953847, -2.3275411)"
BB5,298103796.33285034,11099.25520637614,9777.709544418718,"(50.8289759, 0.3749364)"
BB6,81294907.40282762,12555.198054490753,10760.954626217126,"(53.7880839, -2.4071968)"
BB7,157497558.32532194,11166.079994705562,9560.043114691973,"(53.8790381, -2.3823327)"
BB8,119049909.11185925,11061.034015781775,9402.55,"(53.8496063, -2.1045922)"
BB9,234592503.8322185,12532.989840379234,10984.895092507895,"(50.8341494, 0.3767707)"
BD1,15402498.182374245,21693.65941179471,16464.864751569392,"(53.7914599, -1.7498077)"
BD10,128537203.11720198,11029.449383662432,9980.555022087232,"(53.8363971, -1.7409323)"
BD11,63446826.231170096,12317.38035938072,11054.830036490608,"(53.7556254, -1.6591564)"
BD12,86764847.22,11513.38206201526,10379.657192240324,"(53.7404514, -1.7683637)"
BD13,148863638.34842327,12714.69408510619,11458.93348697112,"(53.7881751, -1.8940014)"
BD14,43255716.76483007,12722.269636714724,11370.41082517074,"(51.023134299999995, -3.0765783915022147)"
BD15,84533265.02118427,12765.51872865966,11401.41876320416,"(53.8002398, -1.821358)"
BD16,140317638.5488545,12988.765949167317,11201.867678124028,"(53.8614845, -1.8105152)"
BD17,98743420.03801666,12863.916107089197,11313.396229432472,"(53.8409936, -1.7670589)"
BD18,137220137.26441517,12767.039194679492,10938.300204854191,"(53.8348913, -1.7916592)"
BD19,119539785.981412,11615.954327219124,10131.830112144422,"(53.7301836, -1.7181169)"
BD2,156011295.6860065,12310.525975381242,10828.772165672215,"(53.8179351, -1.7173089)"
BD20,189823890.86418855,12223.832240594278,10611.71659944675,"(53.8957871, -1.9561245)"
BD21,117605418.3,12437.121222410851,10556.202387810052,"(53.8667365, -1.9197867)"
BD22,155380465.74006912,11907.46154801664,10536.697394533909,"(53.8124914, -1.9521357)"
BD23,143099823.5561088,11987.921886245187,10304.63798732674,"(54.0216307, -2.2602224)"
BD24,24301476.643610664,11959.388112013125,10011.056769927254,"(54.070222, -2.2753983)"
BD3,137413435.67749545,14315.390736274136,12750.264067602073,"(53.8072999, -1.7492457)"
BD4,152480284.62646303,11345.259272802308,9850.021605533284,"(53.7839356, -1.7372879)"
BD5,126891848.32963891,13165.786296912109,11397.175252620687,"(53.7686952, -1.7472222)"
BD6,152455838.46441138,12051.844937898131,10994.814672558614,"(51.023134299999995, -3.0765783915022147)"
BD7,160642344.22347787,14841.310441932545,12956.816945136305,"(51.023134299999995, -3.0765783915022147)"
BD8,134856891.33993563,14231.415295476534,12292.646917611342,"(53.8018126, -1.7810121)"
BD9,138310710.23799264,17417.291303109512,15326.923692464845,"(53.8194849, -1.7704553)"
BH1,66861196.38598687,8744.598010199696,6494.607605718551,"(50.73180255, -1.8471770453820116)"
BH10,87698031.22515017,10282.33453220192,9439.867618715934,"(50.771805, -1.897416)"
BH11,79715435.64975137,9103.053060380424,8201.755078828983,"(50.7687404, -1.9112694)"
BH12,144762096.29001996,10051.52730801416,9041.822652250758,"(50.7339487, -1.951639)"
BH13,65278079.02979667,14287.169846749106,10629.600960475764,"(50.7014546, -1.9322531)"
BH14,133750228.2429032,12572.873495290767,10669.094183440626,"(50.7250246, -1.9420909)"
BH15,136057733.09631357,9417.06,8213.6,"(50.7136958, -1.9767411)"
BH16,63044419.495181955,9904.857736870692,8586.814002716776,"(50.7253995, -2.027632)"
BH17,84000804.38014102,8945.772564445264,8090.186723957411,"(50.7528248, -1.9686372)"
BH18,69009487.89183606,13969.531961910134,12704.969827176734,"(50.759519, -2.0021745)"
BH19,59223998.03755299,9810.170289473745,8259.020252123977,"(50.6099267, -1.9937917)"
BH2,26875551.91595735,9070.385391818209,6435.420681811464,"(50.7189307, -1.8793379)"
BH20,76656067.02378076,10459.280532648489,9064.68200056962,"(50.686797, -2.105109)"
BH21,181142760.77528676,11747.260750667105,10421.274209347868,"(50.7721135, -2.0120463)"
BH22,147122466.68422073,12268.384480005065,10901.610533635963,"(50.7980375, -1.8909725)"
BH23,249262769.56003037,10633.62354677831,9429.994312973537,"(50.7365634, -1.7587362)"
BH24,131215164.5112841,13429.041501513058,11245.69523869546,"(50.8203281, -1.7689674)"
BH25,121260683.16290088,10832.649916285587,9629.44,"(50.7871361, -1.6697396)"
BH3,33279968.0954594,16077.279273168791,13615.782281760185,"(53.5577116, -1.4985072)"
BH31,65791320.21,11669.265733946151,10684.89147262285,"(50.8826225, -1.887926)"
BH4,44230677.14485485,9957.38,7140.374711699735,"(50.7218968, -1.8974474)"
BH5,41733820.36849191,9102.250898253416,6771.113076996055,"(50.7226845, -1.8213484)"
BH6,105943493.94001032,10676.558897511874,9438.880288140315,"(50.72602055, -1.8146418216686033)"
BH7,53804439.97921762,11630.877643583575,10326.984139522274,"(50.7451473, -1.8168369)"
BH8,111469796.24826048,10377.005794848305,8463.4,"(50.7637348, -1.8466922)"
BH9,128989621.06232277,10737.502793833575,9849.61,"(50.7451962, -1.8817822)"
BL0,97224119.76122718,12667.63775390582,11394.87840771104,"(53.6481437, -2.315841)"
BL1,320681786.2,12281.01203188515,10304.214510353258,"(57.705049, -3.3296032)"
BL2,220058798.13640344,10885.916306525029,9751.007732095364,"(57.7055247, -3.3342871)"
BL3,291714244.7019783,11688.205974115648,10265.61030245562,"(57.7042276, -3.3374539)"
BL4,145827022.11512652,10138.846006752869,9074.776233746825,"(51.023134299999995, -3.0765783915022147)"
BL5,133357412.61643536,11140.970143394768,10062.063500657625,"(53.551352, -2.5171697)"
BL6,168385882.44923347,12115.835548225174,10332.268590748528,"(53.5920965, -2.5796587)"
BL7,92065572.19,14799.15965119148,13056.467449883878,"(53.6475723, -2.3929065)"
BL8,191755380.263774,12548.614636723642,11229.51,"(51.023134299999995, -3.0765783915022147)"
BL9,233047698.0046772,11254.537016693735,9786.444465221972,"(53.5935442, -2.3001495)"
BN1,341865363.4453876,10794.61204437599,9024.82,"(50.821204, -0.146893)"
BN10,80902627.28516784,9811.135979283028,8796.221802190354,"(50.7911837, 0.0003689)"
BN11,125213048.5184431,9727.55,7567.984912698572,"(50.8109624, -0.3674957)"
BN12,109121616.6965164,11129.180693168426,9874.896045852844,"(50.8210661, -0.4441546)"
BN13,113653515.1071949,9431.8269798502,8339.266447691924,"(50.8193082, -0.3965931)"
BN14,140223313.46198472,11514.478031038325,10049.399409279997,"(50.8226183, -0.3921748)"
BN15,105570062.53839354,9280.068788536704,8347.243744303027,"(50.8193284, -0.3332839)"
BN16,152571584.50346327,11387.63878963004,9663.5,"(50.8073241, -0.4759177)"
BN17,111578925.57480784,8823.26,7595.383538450561,"(50.8024132, -0.5788918)"
BN18,64721554.41752676,11209.136546159812,9413.708429811228,"(50.8573167, -0.5970573)"
BN2,371512852.5714587,9927.658932485136,8354.638771297072,"(50.8330676, -0.0611735)"
BN20,112876114.63776104,12246.51346834773,10473.914535265252,"(50.7591982, 0.2634929)"
BN21,107783250.81356028,10571.130915413916,8347.243744303514,"(50.7685319, 0.28935279972260863)"
BN22,127106228.48282392,9130.53864541512,7941.398779075856,"(50.798182, 0.2800464)"
BN23,100096856.9058382,8558.212799746769,7809.27,"(50.7854523, 0.3182233)"
BN24,47647267.64535547,10304.339888701445,9106.084084694809,"(50.8189998, 0.3701741)"
BN25,113278128.3317384,10918.373815107318,9609.65,"(50.7971969, 0.0858213)"
BN26,50263814.42,9643.863088863794,8522.245688769044,"(50.8259239, 0.1627052)"
BN27,110059019.56121384,9349.220146212523,8232.570105478486,"(50.8633428, 0.2510927)"
BN3,349613843.7838635,10617.524410345708,8518.76,"(50.8232439, -0.1588134)"
BN41,78128806.25767556,9136.803444939254,8212.63,"(50.8435681, -0.210772)"
BN42,43646717.93211811,10289.18385952808,9283.080353314625,"(50.8439599, -0.239311)"
BN43,98683949.8612018,10151.625332908325,8789.983706370356,"(50.8442887, -0.2636571)"
BN44,47201503.13256865,11910.54835542989,10363.505463451138,"(50.8794474, -0.2968747)"
BN45,645671.9993819259,14036.347812650563,11359.171797065545,"(50.9010516, -0.1746011)"
BN5,33347694.292422928,11986.949781604217,10059.86961108728,"(50.9311902, -0.2982214)"
BN6,95684558.99636813,12871.20782840572,10896.488593463764,"(50.9469242, -0.0939055)"
BN7,82018300.13139707,11001.784055184047,8969.47,"(50.8297015, 0.0188945)"
BN8,38478863.49,11909.273749764625,10077.319947429194,"(50.8995068, 0.1955742)"
BN9,52511312.64,9143.533457164966,8032.140528057826,"(50.7996509, 0.0633618)"
BR1,305158531.03540033,13065.530529003268,10884.243179412197,"(51.7553208, 0.5937135)"
BR2,272939020.83016866,13941.82054605755,12090.59,"(51.8964988, -1.1556719)"
BR3,273514250.3957991,13267.729827591516,11134.31174876589,"(52.476734, -1.9121602)"
BR4,116708282.52701274,16102.136110239064,15290.483284573498,"(52.4766452, -1.9122894)"
BR5,232741802.43824348,12212.929760100931,10793.282318524569,"(52.4754857, -1.9138238)"
BR6,281212547.1640242,15009.20939176047,13398.866825014476,"(52.4754028, -1.9138974)"
BR7,124658670.87322332,16850.32047488826,14308.2786389925,"(52.4754799, -1.9140408)"
BR8,100183621.90544444,11000.73,9943.700229148571,"(53.3348567, -2.4681578)"
BS1,25387525.50083822,9627.427190306493,5620.125937271764,"(51.7915949, -4.8041174)"
BS10,110841829.25146832,9434.150076727236,8436.195453043963,"(52.4816362, -1.8918864)"
BS11,67374546.78179449,9018.143057394524,7813.516733238344,"(52.4815277, -1.8921186)"
BS12,2841836.6582704224,13662.676241684723,9377.72,"(52.4816541, -1.892774)"
BS13,109034384.81654036,8752.860625876241,7955.671682134196,"(52.4817119, -1.893085)"
BS14,115304550.95471576,9526.152590442478,8658.94,"(52.4817737, -1.8934155)"
BS15,196645186.2864958,9627.67129921644,8657.436605900524,"(52.481827, -1.8937088)"
BS16,336666858.16296786,10192.142715032933,8999.809792672122,"(52.4800534, -1.8946083)"
BS17,4467187.692416062,12513.130791081405,10410.347278533534,"(52.480675, -1.8934281)"
BS18,6587367.793649986,13638.442636956494,11546.585778498673,"(52.4804498, -1.892665)"
BS19,4506060.891850313,12948.450838650326,11383.908460221694,"(None, None)"
BS2,50558215.590252206,9091.57,6911.5335715934125,"(52.5642509, -1.9906481)"
BS20,136727002.83686185,10639.405714486176,9538.396852568032,"(51.4861043, -2.7651724)"
BS21,97753828.11457492,10346.510173007508,8774.564275057632,"(51.4399993, -2.8620433)"
BS22,145698089.65447572,9102.148413473838,8199.94,"(51.3612367, -2.8987058)"
BS23,146338971.91676626,9867.766144084037,7894.069137127224,"(51.344543, -2.9718564)"
BS24,94166791.26811318,9038.854988300363,7758.957263416253,"(51.353454, -2.9064031)"
BS25,33868202.86952414,13132.300453479698,11471.503939293523,"(51.3145819, -2.8343088)"
BS26,11854798.695659831,12158.767892984444,10459.400746814144,"(51.3108703, -2.8925999)"
BS27,33570676.21219235,11295.651484586928,9741.12,"(51.2577602, -2.7525486)"
BS28,11378750.909692712,14082.61251199593,12055.140102711835,"(51.2275759, -2.8085433)"
BS29,14755095.021907354,10638.136281115612,9237.068404560916,"(51.3269029, -2.874452)"
BS3,140671193.08411503,9005.838225615558,8031.754612524319,"(52.4104007, -1.5116447)"
BS30,111462191.4069897,9748.311300243982,8752.540268894014,"(51.4598947, -2.4777563)"
BS31,97905300.09519328,9985.242233064078,8756.544633651212,"(51.4044412, -2.4549922)"
BS32,85401776.63086286,9593.55,8480.243465378486,"(51.5259168, -2.5401843)"
BS34,135250396.26652613,8968.86,8044.268252398422,"(51.5084038, -2.5384241)"
BS35,91783203.94,10401.541697144026,9522.38,"(51.608139, -2.504804)"
BS36,70197845.42095648,11371.755292557344,10342.27307765345,"(51.5264208, -2.4826125)"
BS37,138736142.28148344,9113.587484824506,8328.08,"(51.5393523, -2.4140487)"
BS39,53031101.09408326,10631.736386143397,9411.758817111317,"(51.3665912, -2.5792222)"
BS4,189368049.33860055,9421.76,8373.126708111151,"(52.4100666, -1.5108335)"
BS40,49438811.61408238,13664.68,11787.34820954791,"(51.3878126, -2.7004787)"
BS41,29158577.84,12230.947081671518,10641.098797689874,"(53.4855074, -2.2268498987465812)"
BS48,95168419.59719202,11099.652390621884,10039.44299286168,"(51.4322039, -2.7733462)"
BS49,52585996.059990875,10250.681493175607,9209.037851258585,"(51.3928104, -2.8277684)"
BS5,193768753.49700853,9220.497430264502,7864.572383899027,"(52.4816009, -1.8951342)"
BS6,146801393.15786386,11534.642347596751,9114.935279455513,"(52.4817746, -1.8949424)"
BS7,164791548.48100576,10159.148540842472,9010.82179575898,"(52.4103369, -1.5115268)"
BS8,112098867.00985529,11680.615505872176,8274.02,"(52.4818548, -1.8930656)"
BS9,163942919.49648586,14033.80581206008,12303.41071768221,"(52.4817356, -1.8924456)"
CA1,123614994.58220024,10523.111822780304,9199.305155724343,"(54.8795967, -2.9164458)"
CA10,13661133.171177078,12649.197380719515,11081.093051064914,"(54.6053885, -2.7204054)"
CA11,88331243.14499557,11388.762654073696,9947.296160147833,"(54.7090293, -2.8927714)"
CA12,44796499.64585932,13404.09923574486,10973.81539385101,"(54.5240028, -3.1471603)"
CA13,73914163.80925117,11887.128306409002,10467.935780471516,"(54.6627902, -3.2834083)"
CA14,177326279.4706016,10710.048889931846,9588.384766560728,"(54.6583954, -3.5204618)"
CA15,79442558.49870388,10879.561558299629,9591.508333703376,"(54.7153993, -3.5006591)"
CA16,17156636.588831026,11279.839966358331,9808.524144854397,"(54.5793527, -2.4883877)"
CA17,12312003.814325685,12474.16799830363,10381.327782452716,"(54.5166515, -2.360466)"
CA18,1425554.5484006011,13322.939704678516,11209.03888076926,"(54.3548042, -3.4107236)"
CA19,2367752.4333708608,13453.14,12145.011834989284,"(54.4030091, -3.3878469)"
CA2,188438018.98142248,9762.62,8783.973308532875,"(54.8880778, -2.979082)"
CA20,16316855.350243466,12059.760051916826,10643.1246340013,"(54.4188704, -3.4382417)"
CA21,3874061.715146994,14036.455489663023,12640.555875420108,"(54.4404036, -3.5405013)"
CA22,44205191.35944169,11299.895541779571,10180.059150341156,"(54.4852614, -3.4874414)"
CA23,6308806.46,11408.329954104214,10622.456461510554,"(54.5292404, -3.4383192)"
CA24,5558848.925144566,12435.90363567017,11754.284955046767,"(54.5145869, -3.5473373)"
CA25,32495442.345978644,11094.38113553385,9936.02,"(54.5316144, -3.5409245)"
CA26,19336892.01343229,11783.602689477326,10556.586511116586,"(54.5448201, -3.4719934)"
CA27,10055049.786601009,14023.77933975036,12331.025387405316,"(54.4910405, -3.5897907)"
CA28,143372613.7741429,11268.774170725685,10214.926842000948,"(54.5418625, -3.5642856)"
CA3,83736903.47711512,12231.507957510245,10748.43389383502,"(54.9265394, -2.9509875)"
