outcode,elec_total_cons_kwh,elec_mean_cons_kwh,elec_median_cons_kwh
DY10,54924996.08600001,3261.966747000832,2541.1000000008025
DY11,45730750.05700024,3258.104164790556,2591.399999999319
DY12,19368980.317999996,3508.237695707299,2558.4000000002425
DY13,34501243.71499994,3368.9330841714614,2622.899999999605
DY14,18168085.347000033,5136.580533502978,3873.1999999997915
DY2,44579508.47399997,3152.723371570012,2559
DY3,46366589.40800017,3011.9909970118338,2476.6999999998943
DY4,58545456.81599996,3129.7688878434706,2569.399999999122
DY5,56130221.09999992,3099.5759622287214,2551.8999999991465
DY6,38640288.280999936,3075.2318568245073,2593.899999999412
DY7,14397522.160999976,4037.443118620296,2996.199999999943
DY8,70441207.61,3070.002510612334,2496.200000000926
DY9,46133462.19,3565.733667336528,2742.699999999665
E1,93660288.52700023,2991.003657373706,2171.3999999990397
E10,49616045.21999992,2999.579542953867,2303
E11,70777999.08,3237.0454644408874,2404.200000000742
E12,38781783.83699988,3171.815149832328,2461.5
E13,49605523.561048955,2962.231193183384,2272
E14,165570455.01799947,3166.509620142279,2258.599999998024
E15,65596743.99001225,2873.3954176710436,2197.899999999096
E16,76161898.60799971,2794.0092669576916,2133.299999999043
E17,120126357.46399966,2801.323573154229,2177.0999999990804
E18,28833674.08200004,3404.613777541627,2533.8999999998805
E1W,30064526.078999992,3755.249322882837,2592.8000000003904
E2,56690634.977999955,2751.438311881186,2034.7999999998258
E20,15671651.53000002,2607.162124438533,2394.8000000002344
E3,79211482.53499962,2792.1845160209955,2095.700000001001
E4,84524947.19,3301.7557497656367,2641.7000000012404
E5,57689446.5,2981.3667442894107,2223.399999999194
E6,78932809.64900005,3144.1071359888488,2459.899999998986
E7,52570634.99600006,3301.1387752590304,2461.300000000021
E8,52952267.53199997,2755.4908431076633,2036
E9,45167578.65699988,2665.0683654118407,2062.5
EC1A,4183989.65,4317.842770897832,3318.6000000000577
EC1M,3734020.1459999993,3525.986917847025,2210.6999999999903
EC1N,3834520.010999999,2792.8040866715214,1898.399999999951
EC1R,7927128.317000001,3016.4110795281586,2037.9000000000292
EC1V,24263370.397999983,2776.45,2000.1999999996756
EC1Y,7005686.07,2842.0633156186614,1945.100000000011
EC2A,4785457.599999997,3318.6252427184445,2548.200000000061
EC2M,800961.8439999999,6209.006542635659,5444.5
EC2R,59016.3,5365.118181818182,4372
EC2V,54083.3,3863.092857142857,1384
EC2Y,8670058.608999996,3339.7760435285036,2713.0999999998885
EC3A,194309.39999999997,3036.0843749999995,1806.899999999998
EC3M,40399.5,2376.4411764705883,2986.400000000001
EC3N,937095.1000000002,4616.232019704435,3716.699999999991
EC3R,1986682.0560000006,4881.2826928746945,3642.800000000027
EC3V,72607.7,4033.761111111111,2755.800000000001
EC4A,1630455.8260000001,4268.2089685863875,3131.699999999978
EC4M,553319.8999999999,5589.089898989898,3492.900000000003
EC4N,100228.90000000001,4555.859090909092,3015.400000000001
EC4R,659287.9,5360.064227642277,4809.099999999989
EC4V,2205441.746000001,5117.034213457079,3942.399999999974
EC4Y,930099.73,3705.5765976095618,2114.9000000000096
EH1,13543418.95,3301.662346416382,2251.200000000051
EH10,51594298.95600002,3323.9465890993442,2570.399999999247
EH11,56605027.500000104,2477.5693745349545,1885.299999999751
EH12,59787151.94699997,3011.6437611827505,2339
EH13,21691842.97,3172.2496292775663,2458.3000000003076
EH14,58674323.67,3042.4850230749184,2411.3999999991424
EH15,31662824.713000074,2900.3228646148277,2297.3000000004517
EH16,44941872.79099988,2702.295279357819,2121
EH17,31942120.456975557,2850.1936697577903,2283.6999999995423
EH18,3658332.265000003,3838.753688352574,2730.8
EH19,19580910.346097637,2810.1191656282485,2354.1999999997033
EH2,3115630.4889999996,3610.232316338354,2377.600000000037
EH20,8646559.781000003,2799.1452835869222,2265
EH21,38337300.67,2804.2791797235022,2264.4
EH22,44184825.226000056,2843.845351483559,2319.399999999326
EH23,14504345.49,3136.074700324324,2479.300000000104
EH24,3332570.6620000014,3182.9710238777475,2630
EH25,6329271.340999997,2899.3455524507544,2252.3999999999987
EH26,24403366.116999958,3011.274200024674,2378.6999999996365
EH27,5085747.781000001,4488.7447316857915,3145.399999999939
EH28,5168789.566000003,3457.3843250836144,2675.299999999929
EH29,7923238.425999993,3313.7760041823476,2687.2000000001144
EH3,43600515.75699989,2844.872488385742,1996.1000000005288
EH30,14785010.820000013,3000.8140491171125,2436.3000000001325
EH31,5530134.97,3542.6873613068547,2566
EH32,28334401.79900002,2980.999663229881,2408.1999999995764
EH33,20277917.249999966,3092.560202836658,2495.1
EH34,4760022.881999996,4269.078817937216,3039.2000000000507
EH35,4050889.454000001,3174.678255485894,2466.1000000000568
EH36,1157152.8029999996,6187.982903743314,3692.1999999999944
EH37,3283852.3360000025,4281.424166883967,2976.6000000000427
EH38,1060892.4869999997,5440.474292307691,4044.099999999986
EH39,19617541.285000015,3623.483798485411,2678.4000000002457
EH4,89921524.36900018,3248.609984429197,2459.100000000953
EH40,4174599.776999999,3750.763501347708,2651
